Overlap	Jovian	CAT
Anelloviridae       	Ascoideaceae        	Chlamydiaceae       
Bacillaceae         	Brachyspiraceae     	Christensenellaceae 
Bacteroidaceae      	Burkholderiaceae    	Coriobacteriaceae   
Clostridiaceae      	Campylobacteraceae  	Cytophagaceae       
Enterobacteriaceae  	Cyclobacteriaceae   	Defluviitaleaceae   
Enterococcaceae     	Cyprinidae          	Erysipelotrichaceae 
Lachnospiraceae     	Diphyllobothriidae  	Eubacteriaceae      
Leuconostocaceae    	Fabaceae            	Muribaculaceae      
Microviridae        	Flavobacteriaceae   	Oxalobacteraceae    
Myoviridae          	Formicidae          	Paenibacillaceae    
Odoribacteraceae    	Fusobacteriaceae    	Peptoniphilaceae    
Partitiviridae      	Geobacteraceae      	Planococcaceae      
Peptostreptococcaceae	Halobacteroidaceae  	Sutterellaceae      
Picobirnaviridae    	Halomonadaceae      	Trichuridae         
Podoviridae         	Harrimaniidae       	                    
Prevotellaceae      	Hungateiclostridiaceae	                    
Rikenellaceae       	Hypocreaceae        	                    
Ruminococcaceae     	Lactobacillaceae    	                    
Siphoviridae        	Moraxellaceae       	                    
Streptococcaceae    	Muridae             	                    
Tannerellaceae      	Nectriaceae         	                    
Veillonellaceae     	Peptococcaceae      	                    
                    	Plasmodiidae        	                    
                    	Staphylococcaceae   	                    
                    	Thermoanaerobacterales Family III. Incertae Sedis	                    
                    	Varroidae           	                    
