Overlap	Jovian	CAT
Alistipes           	Alphapartitivirus   	Absiella            
Bacillus            	Ascoidea            	Blautia             
Bacteroides         	Belliella           	Candidatus Izimaplasma
Clostridium         	Brachyspira         	Candidatus Saccharimonas
Enterococcus        	Campylobacter       	Catenibacterium     
Escherichia         	Candidatus Evansia  	Chlamydia           
Faecalibacterium    	Clostridioides      	Christensenella     
Lachnoclostridium   	Cyprinus            	Collinsella         
Leuconostoc         	Desulfosporosinus   	Duodenibacillus     
Odoribacter         	Flavobacterium      	Erysipelatoclostridium
Parabacteroides     	Fusarium            	Eubacterium         
Picobirnavirus      	Fusobacterium       	Flavonifractor      
Prevotella          	Geobacter           	Jeotgalibacillus    
Tlsvirus            	Halobacteroides     	Kgvirus             
Veillonella         	K1gvirus            	Klebsiella          
Weissella           	Kp15virus           	Kpvirus             
                    	Kp32virus           	Mediterranea        
                    	Lactobacillus       	Megasphaera         
                    	Lactococcus         	Oribacterium        
                    	Maribacter          	Oxalobacter         
                    	Mus                 	Paenibacillus       
                    	Pakpunavirus        	Paeniclostridium    
                    	Plasmodium          	Paraclostridium     
                    	Pseudoclostridium   	Paraprevotella      
                    	Rtpvirus            	Peptoanaerobacter   
                    	Ruminiclostridium   	Peptoniphilus       
                    	Saccoglossus        	Ruminococcus        
                    	Salmonella          	Sextaecvirus        
                    	Sk1virus            	Skvirus             
                    	Spirometra          	Spirosoma           
                    	Staphylococcus      	Streptococcus       
                    	T7virus             	Sutterella          
                    	Thermoanaerobacterium	Trichuris           
                    	Trichoderma         	Tvirus              
                    	Varroa              	Vallitalea          
                    	Vigna               	                    
                    	Vollenhovia         	                    
